src2_2   258.994082  288.394284  309.755730  289.335891  
mds_0   140.692078  190.287678  370.799136  340.512863  
rsrch_0 178.529947  219.569143  341.331687  298.520521  
usr_0   166.705221  210.849115  345.776184  324.843062  
web_0   160.630821  214.551454  337.579974  336.828025  
ts_0    119.800554  169.225958  384.543695  321.674225  
stg_0   86.473043   127.415915  385.970947  317.370360  
hm_0    70.140747   104.590124  379.037641  312.526861  
prn_1   208.533794  246.736408  290.925227  266.135661  
proj_0  32.451063   51.636925   381.519678  330.333747
