58	20.0000	40.0000	80.0000	160.0000	39.9205	33.7842	64.5133	22.0730	1168	0.137964
59	20.0000	40.0000	80.0000	160.0000	39.7859	33.7757	64.7050	22.2650	1190	0.137939
60	20.0000	40.0000	80.0000	160.0000	39.5316	33.7587	66.6221	24.4132	1216	0.135518
61	20.0000	40.0000	80.0000	160.0000	39.1804	33.7354	70.0632	28.6462	1234	0.130004
62	20.0000	40.0000	80.0000	160.0000	39.1052	33.7307	69.1472	26.2151	1251	0.130258
63	20.0000	40.0000	80.0000	160.0000	39.0441	33.7269	68.2687	22.8645	1262	0.130130
64	20.0000	40.0000	80.0000	160.0000	39.0016	33.7211	67.2017	19.4137	1306	0.133866
65	20.0000	40.0000	80.0000	160.0000	38.9239	33.7160	66.5654	17.2176	1318	0.133889
66	20.0000	40.0000	80.0000	160.0000	38.8777	33.7107	65.7081	15.2967	1336	0.135045
67	20.0000	40.0000	80.0000	160.0000	38.7736	33.7024	66.1678	15.8729	1350	0.134062
68	20.0000	40.0000	80.0000	160.0000	38.7522	33.6706	64.9127	14.3702	1366	0.135489
69	20.0000	40.0000	80.0000	160.0000	38.6049	33.6318	66.2610	16.4740	1390	0.134573
70	20.0000	40.0000	80.0000	160.0000	38.4669	33.5951	67.5849	18.5158	1429	0.135181
71	20.0000	40.0000	80.0000	160.0000	38.2016	33.5526	70.7514	23.2805	1460	0.131543
72	20.0000	40.0000	80.0000	160.0000	38.1480	33.5224	69.7651	21.5686	1521	0.135864
73	20.0000	40.0000	80.0000	160.0000	37.6620	33.4782	77.4157	32.1537	1551	0.124829
74	20.0000	40.0000	80.0000	160.0000	37.4692	33.4705	78.7677	33.6477	1642	0.126308
75	20.0000	40.0000	80.0000	160.0000	37.3898	33.4668	77.9099	30.2282	1664	0.125737
76	20.0000	40.0000	80.0000	160.0000	37.3729	33.4651	75.9569	24.4543	1693	0.127514
77	20.0000	40.0000	80.0000	160.0000	37.3247	33.4639	74.6838	20.3103	1720	0.128282
78	20.0000	40.0000	80.0000	160.0000	37.2940	33.4622	72.9369	16.6766	1751	0.130157
79	20.0000	40.0000	80.0000	160.0000	37.2716	33.4607	71.4652	13.9350	1774	0.131612
80	20.0000	40.0000	80.0000	160.0000	37.2461	33.4578	70.6130	12.7189	1807	0.133614
81	20.0000	40.0000	80.0000	160.0000	37.2113	33.4555	70.5991	12.9442	1827	0.133974
