src2_2  924.455868  853.508050  601.761995  742.701023  
mds_0   2913.737265 2897.979275 1897.032200 2914.887728 
rsrch_0 1410.625930 1375.569502 857.463117  1329.369765 
usr_0   3591.303249 3464.699653 2069.134497 3357.280702 
web_0   2360.982097 2211.730216 1294.189952 2240.350962 
ts_0    1633.749023 1562.386515 936.213489  1603.106061 
stg_0   1591.488255 1591.777974 957.929323  1587.754056 
hm_0    2102.705982 1925.586027 1089.075811 2103.416667 
prn_1   1981.619326 1745.635137 1212.441094 1662.316287 
proj_0  1427.567385 1249.227072 736.536569  1443.440603
